,ca_number,heating_start_month,heating_end_month,cooling_start_month,cooling_end_month
0,101836217,October,February,April,September
1,150160715,November,April,March,September
2,102300744,November,January,August,September
3,101737090,November,April,May,October
4,152848762,November,March,May,September
5,151985460,November,February,April,September
6,102736662,October,February,June,July
7,150025643,December,February,April,October
8,150242060,December,March,May,November
9,102814354,November,February,April,July
10,152562369,October,January,May,October
11,152285716,December,February,May,October
12,150276469,December,January,April,July
13,152353771,October,February,May,October
14,152032795,November,January,May,September
15,102108102,October,January,August,September
16,103400467,November,April,May,November
17,102011171,November,February,May,October
18,150114555,October,January,May,September
19,150388311,December,February,January,November
20,152397779,November,February,April,October
21,150905783,December,January,June,October
22,101871660,December,January,April,September
23,151602310,December,February,April,November
24,150521746,November,March,April,September
25,103214692,October,January,April,November
26,102664580,December,March,June,November
27,150830102,December,January,May,October
28,103193554,December,February,April,September
29,150409495,November,March,March,December
30,102217292,December,February,July,September
31,103180947,December,February,April,November
32,103455218,December,February,May,July
33,102297307,November,March,May,July
34,102273200,November,March,May,October
35,102310387,December,March,June,September
36,150277582,October,February,May,September
37,103455223,December,February,May,August
38,102331523,December,February,May,July
39,150617319,December,January,April,September
40,102287600,December,February,May,October
41,152390517,December,February,June,October
42,101928188,December,February,June,July
43,152781653,December,February,May,July
44,103162198,December,January,March,August
45,151927092,December,January,June,August
46,102066029,October,February,June,September
47,102832494,December,January,May,September
48,151704341,December,April,April,November
49,152459858,November,April,June,October
50,151421363,December,February,April,October
51,103317618,December,February,June,July
52,102797250,November,February,June,September
53,150419922,October,March,May,September
54,150222747,December,January,April,October
55,102763969,November,January,May,October
56,100086554,December,February,April,October
57,103456232,December,January,May,September
58,152066666,December,February,May,September
59,101750638,December,April,June,August
60,102021475,October,January,June,October
61,150823234,October,April,June,July
62,101698623,December,March,May,October
63,150853741,October,March,April,September
64,152320394,November,February,March,November
65,150396704,December,January,May,August
66,152637933,October,January,March,November
67,151034639,December,February,April,October
68,103335093,December,March,May,September
69,100099236,December,February,April,July
70,152742865,December,January,May,September
71,103162699,December,January,May,July
72,101645597,December,February,May,July
73,152189251,December,February,April,October
74,103176398,December,March,May,July
75,102236291,December,January,June,October
76,152025600,December,January,May,September
77,150754472,December,February,April,October
78,150260756,November,February,January,November
79,102899968,December,January,May,September
80,152921433,October,February,April,October
81,102547882,November,April,April,December
82,102175811,October,January,June,August
83,151655592,November,February,May,October
84,102434535,November,January,May,August
85,100134545,November,February,March,July
86,152724720,November,January,May,September
87,152729280,November,April,May,September
88,150899152,October,April,May,September
89,103363257,November,January,January,September
90,103104137,November,March,June,September
91,103421982,October,April,May,July
92,103013014,December,March,May,October
93,150252607,October,April,March,July
94,102338525,December,January,May,July
95,102338525,December,January,May,July
96,150187647,December,April,June,September
97,101980434,November,February,May,September
98,103352063,December,February,May,July
99,151682800,December,January,January,October
100,150024546,December,February,April,October
101,153003025,December,February,April,October
102,152305540,October,March,June,September
103,103103482,December,April,May,September
104,102908927,December,January,April,October
105,102465749,October,February,July,August
106,152925487,November,February,April,September
107,151153536,December,January,April,October
108,150025948,December,April,April,September
109,102351365,December,January,June,August
110,102210224,December,April,May,October
111,103220900,December,February,April,September
112,151180586,October,April,April,September
113,100067692,December,February,June,November
114,103353647,October,January,May,July
115,102946700,December,March,April,October
116,102219224,December,January,March,October
117,102203138,December,March,May,August
118,101886556,October,April,June,July
119,102835018,December,February,March,October
120,103429009,October,January,June,July
121,101766727,November,March,April,September
122,151045754,December,February,April,October
123,150285475,December,January,April,October
124,103352063,December,February,May,July
125,100159947,December,February,May,September
126,152248591,December,January,May,September
127,102236153,October,January,June,September
128,102463437,December,April,June,October
129,150740493,December,January,August,October
130,101673096,December,January,April,October
131,150714145,November,March,May,September
132,100162698,October,February,March,October
133,152971136,December,February,April,October
134,103122819,October,March,March,July
135,150613473,December,February,May,September
136,150152660,December,February,July,December
137,150943919,November,April,April,October
138,151365748,December,April,May,October
139,102519683,December,February,April,September
140,152015556,November,January,May,September
141,102184728,December,February,June,September
142,152973367,December,February,June,September
143,102609035,December,February,May,August
144,103417855,October,March,May,August
145,150214165,December,February,June,October
146,103342052,December,February,May,September
147,102326915,December,February,April,July
148,151259085,December,April,May,September
149,103196634,December,March,May,August
150,103306094,October,February,June,September
151,150031068,December,February,June,August
152,150034527,December,January,May,September
153,151161879,October,April,March,September
154,103375341,November,February,April,August
155,102241641,December,January,May,September
156,152559495,October,April,April,September
157,152943682,December,January,May,July
158,150066592,December,January,May,July
159,100057466,November,January,June,September
160,151252070,October,February,May,October
161,102163999,November,March,June,August
162,102847827,November,March,April,October
163,152399556,November,January,June,July
164,103456289,November,January,May,September
165,102161065,November,March,April,September
166,103375092,December,February,April,October
167,152558299,December,January,April,September
168,103352063,December,February,May,July
169,102301000,December,February,April,October
170,152654842,December,January,April,July
171,100107946,November,March,April,October
172,150270627,November,January,April,October
173,100068328,December,February,May,October
174,102184959,November,April,May,October
175,150521569,December,January,April,August
176,152933861,December,March,August,November
177,150030712,October,March,May,October
178,100099225,December,March,June,October
179,151605551,December,January,May,September
180,152815034,December,January,May,July
181,150012574,December,February,March,October
182,151605551,December,January,May,September
183,102121872,December,January,April,July
184,150363263,October,January,April,October
185,103146536,December,February,June,July
186,150584953,December,January,April,October
187,150242931,October,March,March,October
188,102335167,November,March,March,December
189,151668629,December,April,June,September
190,102016860,December,January,March,October
191,150199011,December,February,April,November
192,152966827,November,January,May,September
193,151276665,December,April,January,July
194,100074580,December,March,May,October
195,150668782,December,February,May,October
196,152919639,December,February,May,August
197,152913733,December,April,April,September
198,152889070,November,April,May,September
199,103220627,October,April,January,October
200,150276469,December,January,April,July
201,100078462,December,January,March,October
202,151244384,December,January,May,September
203,100122047,December,February,May,August
204,151621034,December,February,April,November
205,150252038,October,February,June,July
206,102786072,December,March,May,September
207,100110927,December,February,April,November
208,150372042,October,March,July,October
209,150544710,December,February,May,August
210,150193470,December,January,April,July
211,151323362,October,January,June,August
212,151096556,October,March,May,September
213,102138223,December,February,May,July
214,103432566,November,February,April,October
215,150881672,December,January,June,August
216,102232702,December,March,January,December
217,151812372,December,February,April,November
218,151197841,November,January,May,September
219,101653133,December,February,April,November
220,101727586,December,January,May,September
221,152829576,December,February,May,September
222,103344430,November,February,April,July
223,152011218,November,January,May,September
224,102334957,October,February,August,November
225,102653116,December,January,May,August
226,150410953,December,January,June,September
227,102934815,December,February,June,July
228,151605551,December,January,May,September
229,103010109,October,March,May,July
230,151691471,October,January,May,September
231,102857222,December,February,May,October
232,152955896,October,February,April,September
233,102089840,November,January,January,August
234,152829576,December,February,May,September
235,150403298,December,March,April,September
236,151011388,December,March,June,August
237,103122552,December,February,May,July
238,103452211,December,February,May,August
239,152406030,November,March,April,September
240,151287032,December,March,May,September
241,101670602,December,January,June,August
242,151483914,December,February,April,December
243,152605523,December,February,June,July
244,150193922,December,January,April,October
245,151483914,November,April,May,August
246,103289717,November,January,May,July
247,150276469,December,January,April,July
248,102112257,November,March,June,July
249,103427326,December,March,May,August
250,150928145,December,January,April,October
251,102148834,October,February,June,August
252,102914019,October,March,May,September
253,150728494,December,April,April,September
254,150617317,December,February,April,November
255,150617317,December,February,April,November
256,103424780,December,February,May,October
257,152959095,December,January,May,August
258,102889479,November,April,April,August
259,103168556,December,February,May,September
260,103369432,October,January,May,August
261,152346887,December,March,June,August
262,102553076,December,March,April,September
263,102246768,October,March,May,August
264,151399552,December,February,April,September
265,102577755,October,January,June,September
266,151047676,November,January,July,October
267,151617743,October,April,June,August
268,150090727,December,February,May,September
269,150932410,October,April,May,September
270,102187286,October,February,July,July
271,100140011,December,January,March,August
272,102028484,December,January,March,October
273,101730551,December,February,April,July
274,151417812,November,January,June,July
275,102490543,December,April,June,July
276,102167497,December,April,May,September
277,152534422,December,March,April,October
278,152716467,December,March,May,July
279,102827893,October,April,May,August
280,102774203,November,February,May,August
281,152896813,December,January,March,July
282,102237195,November,March,May,September
283,102134849,November,January,August,November
284,102134849,November,April,April,August
285,151274898,November,January,May,August
286,152836427,December,January,May,August
287,102092101,December,January,May,September
288,102908042,December,February,June,September
289,151034639,December,February,April,October
290,151041538,November,February,June,October
291,152356219,November,February,May,September
292,152965826,December,March,May,September
293,152975624,November,February,May,August
294,151276665,October,April,April,August
295,151276665,October,March,April,August
296,103369588,December,January,April,September
297,151252070,October,February,May,September
298,102120196,December,January,April,August
299,151706361,December,March,April,September
300,150275759,December,March,May,August
301,152550157,December,March,April,October
302,102648038,October,February,June,October
303,102870295,November,February,May,July
304,151692477,October,January,June,August
305,150527144,October,January,May,August
306,150796419,December,March,August,September
307,102049972,December,February,April,October
308,102248756,November,March,May,September
309,103064053,December,January,January,October
310,102904865,November,February,April,September
311,152627442,December,February,June,July
312,101787365,December,February,April,September
313,101926228,November,March,May,September
314,150625486,November,March,January,September
315,103122831,October,March,April,September
316,150389998,November,April,May,September
317,102782125,December,February,June,September
318,103457265,November,February,June,October
319,102319108,December,February,March,October
320,151602751,December,March,April,August
321,151303157,December,January,May,November
322,102287465,December,February,March,September
323,102852465,December,February,April,October
324,102258201,October,April,April,July
325,102340607,December,February,June,August
326,102151929,December,February,May,October
327,150754052,October,February,April,September
328,102351365,October,February,July,July
329,152659520,November,February,May,October
330,152909274,December,March,April,November
331,102049859,November,February,April,October
332,102826657,December,February,April,September
333,102362118,October,February,May,October
334,150214171,December,February,May,September
335,151009158,November,February,March,October
336,103444868,October,March,July,September
337,103444868,November,March,July,September
338,150669347,November,March,May,August
339,150471221,October,April,May,October
340,152190333,November,April,April,October
341,152626919,November,April,May,August
342,101670867,November,February,August,November
343,102182054,December,February,April,September
344,152263472,December,January,April,July
345,150271779,November,February,August,September
346,101926407,October,March,June,August
347,150560104,December,February,May,November
348,102867651,November,March,June,August
349,150617317,December,February,April,November
350,151226116,December,February,May,August
351,103344611,December,January,March,December
352,102727938,November,March,May,July
353,103450472,November,March,May,November
354,102639257,October,February,July,August
355,152893784,December,April,March,November
356,102310552,October,January,May,September
357,151195166,November,February,May,September
358,153056782,November,April,May,October
359,102888660,December,January,May,September
360,102344787,December,February,May,September
361,100117277,November,February,March,November
362,103316024,October,February,May,September
363,150013223,December,February,April,July
364,103041118,October,March,April,October
365,102314658,December,March,May,July
366,103146879,October,February,May,October
367,103334810,October,April,May,August
368,150916269,December,January,April,October
369,152550449,November,January,June,July
370,100106794,November,April,April,October
371,102775844,December,February,May,July
372,102091711,October,February,January,December
373,102444631,October,April,June,July
374,100064836,November,January,May,September
375,103030639,December,February,May,October
376,152550368,December,March,May,October
377,101678047,October,April,June,July
378,103011321,October,March,May,July
379,150824946,December,January,May,July
380,102976179,December,February,June,September
381,152169316,December,February,June,July
382,101874812,October,April,May,October
383,150274256,December,April,August,August
384,102339854,December,February,June,August
385,100152081,November,March,May,October
386,150000576,December,February,May,September
387,102024928,November,April,May,September
388,102172346,November,January,May,August
389,101732852,November,March,April,October
390,152153846,November,March,May,August
391,102881438,December,January,May,October
392,103405606,October,February,May,September
393,102990181,December,March,June,July
394,150664341,October,February,April,September
395,102020786,November,January,April,September
396,152149382,October,April,May,September
397,103087550,December,February,May,September
398,100076005,November,January,March,October
399,100053943,October,April,March,December
400,102228109,December,January,May,August
401,100145316,December,January,May,September
402,101771032,December,February,June,August
403,102525274,November,March,April,October
404,152840453,December,January,June,August
405,100131096,December,February,June,August
406,103083977,October,April,August,October
407,151223713,November,March,May,October
408,102832494,October,March,April,September
409,152701470,October,March,June,August
410,102599789,December,February,May,August
411,153001513,December,January,May,August
412,102434259,December,February,April,October
